Company Names,Price_clean
ASTON MARTIN,752949.0909090909
AUDI,82870.95238095238
Acura,63259.25925925926
BENTLEY,311000.0
BMW,67317.0731707317
Bugatti,5870000.0
Cadillac,62178.5
Chevrolet,44627.19298245614
FERRARI,512222.22222222225
Ford,62082.27272727273
GMC,63293.47457627119
HONDA,29364.285714285714
HYUNDAI,31495.608695652172
Jaguar Land Rover,72435.89743589744
Jeep,51439.21052631579
KIA,34093.75
KIA  ,26500.0
Kia,36759.25925925926
LAMBORGHINI,650083.3333333334
MAHINDRA,18400.0
MARUTI SUZUKI,12066.666666666666
MERCEDES,84190.47619047618
Mazda,18500.0
Mitsubishi,
NISSAN,39600.0
Nissan,60509.6644295302
Peugeot,35416.666666666664
Porsche,138389.58333333334
ROLLS ROYCE,392413.7931034483
ROLLS ROYCE ,332000.0
TOYOTA,42865.22222222222
Tata Motors,12507.142857142857
Tesla,87032.0
Toyota,50000.0
VOLVO,58333.333333333336
Volkswagen,36437.71028037383
Volvo,110000.0
